tethered	deleted
3.8457	21.004
45.457	39.225
55.931	38.8
6.842	27.377
59.539	25.792
57.946	61.989
63.399	50.774
53.721	47.874
69.575	63.318
94.477	41.543
49.765	89.831
46.701	96.988
50.528	53.936
68.708	95.417
35.91	68.724
50.888	79.117
45.611	96.756
29.155	74.697
28.3	77.55
31.471	77.527
40.937	85.733
41.078	99.07
33.875	84.137
17.934	71.022
21.343	65.119
38.226	37.768
27.232	81.656
35.047	21.218
18.638	34.359
16.692	50.403
43.497	11.636
13.834	13.625
33.926	9.4509
52.774	21.522
49.364	49.571
2.3424	60.941
38.054	26.615
23.396	50.012
24.031	28.773
22.484	29.937
31.413	38.496
28.553	33.424
18.515	17.39
38.883	34.886
43.414	15.141
23.048	16.052
43.575	30.16
23.359	4.0176
36.168	12.544
46.293	33.832
13.281	41.957
27.628	12.544
7.25	32.873
8.5463	31.718
45.379	39.586
12.173	68.685
32.41	39.046
29.143	3.7924
13.061	11.896
24.308	28.932
37.983	16.134
18.564	48.034
14.992	3.6187
25.168	23.495
45.918	22.345
21.001	9.1625
43.278	34.736
27.172	18.374
24.429	24.189
14.966	23.39
28.45	28.78
23.633	22.177
45.947	22.071
32.616	24.709
39.273	47.076
23.615	16.334
4.5081	59.529
42.879	7.3763
13.468	25.258
18.055	9.1872
38.815	29.977
19.982	26.991
29.347	48.117
18.123	38.31
36.559	16.982
19.152	16.494
55.924	15.744
44.682	40.906
7.8778	46.347
30.193	78.236
21.758	46.44
32.428	49.832
27.629	21.704
26.209	25.977
3.1636	39.109
39.506	18.532
17.161	11.629
20.387	36.472
23.624	15.312
13.377	35.79
17.837	14.994
43.062	18.846
39.211	24.133
31.307	33.104
33.311	50.661
88.132	47.445
22.126	51.39
15.407	57.475
4.9033	45.381
19.706	39.307
14.338	63.918
31.633	62.554
14.918	67.198
10.696	6.812
46.128	24.193
11.418	36.984
28.1	21.97
30.393	13.852
10.807	15.17
36.179	24.409
8.292	5.5577
12.198	21.897
18.19	27.221
17.997	41.967
34.286	20.102
